Equipo,Cargo,Nombre del Entrenador,Nombre(s),Apellido(s),Nacionalidad
Algeria (ALG),Entrenador,PETKOVIC Vladimir,Vladimir,PETKOVIĆ,Switzerland
Argentina (ARG),Entrenador,SCALONI Lionel,Lionel Sebastián,SCALONI,Argentina
Australia (AUS),Entrenador,POPOVIC Tony,Tony,POPOVIC,Australia
Austria (AUT),Entrenador,RANGNICK Ralf,Ralf Dietrich,RANGNICK,Germany
Belgium (BEL),Entrenador,GARCIA Rudi,Rudi José,GARCIA,France
Bosnia And Herzegovina (BIH),Entrenador,BARBAREZ Sergej,Sergej,BARBAREZ,Bosnia And Herzegovina
Brazil (BRA),Entrenador,ANCELOTTI Carlo,Carlo,ANCELOTTI,Italy
Cabo Verde (CPV),Entrenador,BUBISTA,Pedro,LEITÃO BRITO,Cabo Verde
Canada (CAN),Entrenador,MARSCH Jesse,Jesse Alan,MARSCH,USA
Colombia (COL),Entrenador,LORENZO Nestor,Nestor Gabriel,LORENZO,Argentina
Congo DR (COD),Entrenador,DESABRE Sebastien,Sebastien Serge Louis,DESABRE,France
Côte D'Ivoire (CIV),Entrenador,FAE Emerse,Emerse,FAE,Côte D'Ivoire
Croatia (CRO),Entrenador,DALIC Zlatko,Zlatko,DALIĆ,Croatia
Curaçao (CUW),Entrenador,ADVOCAAT Dick,Dirk Nicolaas,ADVOCAAT,Netherlands
Czechia (CZE),Entrenador,KOUBEK Miroslav,Miroslav,KOUBEK,Czech Republic
Ecuador (ECU),Entrenador,BECCACECE Sebastian,Sebastián Andrés,BECCACECE,Argentina
Egypt (EGY),Entrenador,HOSSAM HASSAN,Hossam Hassan Hassanein,HASSAN,Egypt
England (ENG),Entrenador,TUCHEL Thomas,Thomas,TUCHEL,Germany
France (FRA),Entrenador,DESCHAMPS Didier,Didier Claude,DESCHAMPS,France
Germany (GER),Entrenador,NAGELSMANN Julian,Julian,NAGELSMANN,Germany
Ghana (GHA),Entrenador,CARLOS QUEIROZ,Carlos Manuel,BRITO LEAL DE QUEIROZ,Portugal
Haiti (HAI),Entrenador,MIGNE Sebastien,Sébastien Bernard Henri C,MIGNÉ,France
Iran (IRN),Entrenador,GHALEHNOY Amir,Ardeshir,GHALEHNOY,IR Iran
Iraq (IRQ),Entrenador,ARNOLD Graham,Graham James,ARNOLD,Australia
Japan (JPN),Entrenador,MORIYASU Hajime,Hajime,MORIYASU,Japan
Jordan (JOR),Entrenador,SELLAMI Jamal,Jamal,SELLAMI,Morocco
Korea Republic (KOR),Entrenador,HONG Myungbo,Myung Bo,HONG,Korea Republic
Mexico (MEX),Entrenador,AGUIRRE Javier,Javier,AGUIRRE ONAINDIA,Mexico
Morocco (MAR),Entrenador,OUAHBI Mohamed,Mohamed,OUAHBI,Morocco
Netherlands (NED),Entrenador,KOEMAN Ronald,Ronald,KOEMAN,Netherlands
New Zealand (NZL),Entrenador,BAZELEY Darren,Darren Shaun,BAZELEY,New Zealand
Norway (NOR),Entrenador,SOLBAKKEN Stale,Ståle,SOLBAKKEN,Norway
Panama (PAN),Entrenador,CHRISTIANSEN Thomas,Thomas,CHRISTIANSEN TARIN,Spain
Paraguay (PAR),Entrenador,ALFARO Gustavo,Gustavo Julio,ALFARO,Argentina
Portugal (POR),Entrenador,MARTINEZ Roberto,Roberto,MARTÍNEZ MONTOLIU,Spain
Qatar (QAT),Entrenador,LOPETEGUI Julen,Julian,LOPETEGUI ARGOTE,Spain
Saudi Arabia (KSA),Entrenador,DONIS Georgios,Georgios,DONIS,Greece
Scotland (SCO),Entrenador,CLARKE Steve,Stephen,CLARKE,Scotland
Senegal (SEN),Entrenador,THIAW Pape,Pape Bouna,THIAW,Senegal
South Africa (RSA),Entrenador,BROOS Hugo,Hugo Henri,BROOS,Belgium
Spain (ESP),Entrenador,DE LA FUENTE Luis,Luis,DE LA FUENTE CASTILLO,Spain
Sweden (SWE),Entrenador,POTTER Graham,Graham Stephen,POTTER,England
Switzerland (SUI),Entrenador,YAKIN Murat,Murat,YAKIN,Switzerland
Tunisia (TUN),Entrenador,LAMOUCHI Sabri,Sabri,LAMOUCHI,France
Türkiye (TUR),Entrenador,MONTELLA Vincenzo,Vincenzo,MONTELLA,Italy
Uruguay (URU),Entrenador,BIELSA Marcelo,Marcelo Alberto,BIELSA,Argentina
USA (USA),Entrenador,POCHETTINO Mauricio,Mauricio Roberto,POCHETTINO TROSSERO,Argentina
Uzbekistan (UZB),Entrenador,CANNAVARO Fabio,Fabio,CANNAVARO,Italy
